"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"f3","bahl",1,"a","breathy","F",146,6.844,1.85,-7.793,-26.0975,-25.1105,-23.762,4.994,9.643,32.9415,31.954,30.6055,15.896,6.7985,22.8905,-0.687188173787912,29.536,29.7585,33.401,36.284,0,0.092,190.963,957.2695,1820.655
"f3","bahl",2,"a","breathy","F",148,4.0305,1.8275,-14.504,-29.876,-31.4915,-24.7735,2.203,16.3315,33.9065,35.522,28.8035,11.563,8.1835,21.7455,-0.846185135655471,47.0685,44.4375,44.3235,44.0095,0,0.0785,201.288,973.2625,1771.8215
"f3","bahl",3,"a","breathy","F",135,2.6205,0.584,-16.599,-31.128,-36.1735,-26.792,2.0365,17.183,33.7485,38.794,29.4125,11.9375,6.649,20.638,-1.03385826726097,41.6565,41.978,43.884,44.7625,0,0.0585,202.705,1016.104,1721.2045
"f3","bgah",1,"a","breathy","L",173,-0.3185,-6.2015,0.8855,-15.39,-8.311,-9.23,5.883,-7.087,15.0715,7.9925,8.912,8.672,29.898,18.544,-0.987162775294828,32.628,33.947,35.802,39.18,0,0.06,202.7765,335.2805,1579.343
"f3","bgah",2,"a","breathy","L",165,-0.1305,-2.9635,-3.246,-15.0295,-12.2375,4.3715,2.833,0.2825,14.8985,12.1065,-4.5025,-13.502,46.5005,19.4965,-1.03857890593355,30.6,33.9825,37.4225,40.0585,0,0.0895,200.5075,267.1415,1048.0865
"f3","bgah",3,"a","breathy","L",131,0.201,1.0195,1.618,-13.71,-10.6955,2.5185,-0.818,-0.5985,13.911,10.8965,-2.317,-3.3655,41.6795,17.1615,-1,26.9835,30.425,34.147,38.156,0,0.0835,196.456,256.8495,1041.7345
"f3","cha7",3,"a","checked","L",203,-6.8205,-4.8375,-2.524,-7.382,-13.498,-3.6295,-1.983,-2.314,0.5615,6.678,-3.191,0.9495,28.68,14.6645,-1.35654732351381,22.223,31.183,33.6965,36.4005,0,0.0555,200.046,217.806,1487.415
"f3","dam",1,"a","modal","H",141,4.302,0.347,9.7745,-13.8945,-3.982,-1.9275,3.955,-9.428,18.1965,8.284,6.2295,8.9485,34.5975,25.8145,-0.644931793651149,40.033,40.88,43.3345,45.462,0,0.089,195.7225,321.577,1619.0595
"f3","dam",2,"a","modal","H",142,2.406,-14.0055,-3.58,-20.8995,-19.1,-15.5265,16.4115,-10.4255,23.3055,21.506,17.933,7.941,24.1465,21.4305,-1.10237290870956,45.3245,46.906,47.742,47.68,0,0.086,217.705,359.82,1743.725
"f3","dam",3,"a","modal","H",121,-0.8015,-2.498,-5.218,-19.452,-14.19,-5.961,1.6965,2.7195,18.6505,13.3885,5.159,2.8685,29.39,21.6205,-1.0433514207948,41.511,45.5235,47.949,48.5775,0,0.083,211.414,351.2965,1576.0765
"f3","kandadw",1,"a","modal","M",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01772876696043,0,0,0,0,0,0.0995,226.9045,695.0775,1801.701
"f3","kandadw",2,"a","modal","H",140,4.7995,-7.4265,-11.5865,-20.95,-26.878,-20.297,12.226,4.16,25.7495,31.6775,25.0965,9.6365,15.691,23.2955,-0.95663772197887,44.201,44.2705,46.186,47.121,0,0.102,226.291,747.8405,1727.6325
"f3","kandadw",3,"a","modal","M",41,0,0,0,0,0,0,0,0,0,0,0,0,0,16.557,-1.3767507096021,31.235,39.616,41.836,43.278,0,0.0985,243.0415,270.377,1911.033
"f3","kandadw",4,"a","modal","H",116,5.794,-7.432,-16.3215,-20.7015,-28.1825,-25.4385,13.226,8.8895,26.4955,33.9765,31.2325,5.2525,13.4095,18.737,-0.892790030352132,37.301,38.739,40.359,42.3475,0,0.1205,229.5345,725.002,1782.199
"f3","kandadw",6,"a","modal","H",119,3.0115,-9.182,-14.9705,-20.804,-21.69,-22.656,12.1935,5.7885,23.8155,24.7015,25.6675,4.8025,18.301,22.933,-0.980883709552927,46.582,50.156,50.0365,50.13,0,0.0875,231.4175,668.6515,1831.76
"f3","gwanhax",1,"a","modal","L",46,4.831,0.193,-0.4,-19.191,-8.5,-8.059,4.638,0.593,24.022,13.331,12.89,-1.276,34.602,24.419,-0.637329070274333,38.655,41.174,45.604,48.072,0,0.109,224.145,355.329,1542.06
"f3","gwanhax",2,"a","modal","F",140,-2.599,-2.942,3.7215,-21.091,-12.348,-13.6395,0.343,-6.6635,18.4925,9.749,11.0405,13.8015,28.61,20.872,-1.03621217265444,41.2585,42.629,41.7085,43.3195,0,0.0605,239.9765,324.832,1658.47
"f3","gwanhax",3,"a","modal","L",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.858550226599533,0,0,0,0,0,0.1095,226.4795,319.5935,1591.7755
"f3","gwanhax",4,"a","modal","F",168,-4.6935,-11.0495,0.6705,-23.0655,-14.7785,-16.9765,6.356,-11.7205,18.3715,10.085,12.283,13.3865,27.0165,22.2125,-1.42596873227228,40.4045,43.129,43.5645,45.3315,0.1155,0.0285,239.478,458.5515,1624.114
"f3","gwanhax",5,"a","modal","L",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954677021213343,0,0,0,0,0,0.113,218.2765,607.9115,1543.8895
"f3","gwanhax",6,"a","modal","F",142,3.4875,-6.901,-11.632,-20.9525,-22.46,-25.273,10.3885,4.731,24.44,25.9475,28.76,6.7595,18.751,21.649,-0.871277715661573,40.739,46.2105,45.7585,47.06,0,0.0635,231.832,616.9015,1751.83
"f3","player",1,"a","modal","M",85,-2.826,1.071,-5.1865,-15.464,-16.329,-10.7825,-3.8965,6.257,12.6385,13.503,7.9575,12.3765,17.173,17.5145,-1.20065945054642,32.8405,41.684,43.9325,43.5005,0,0.0845,225.5505,293.1325,2133.1715
"f3","player",2,"a","modal","M",82,-3.032,2.015,-1.367,-4.8705,-12.1295,-11.1045,-5.047,3.3815,1.8385,9.0975,8.0725,14.56,20.085,17.756,-1.25963731050576,35.275,44.5335,46.299,46.576,0,0.082,218.3325,252.3795,2185.312
"f3","player",3,"a","modal","M",70,4.945,-10.9775,-25.899,-35.0245,-33.746,-30.261,15.922,14.922,39.969,38.691,35.206,10.0535,1.3135,15.784,-1.24795155218056,28.6155,41.9205,44.849,45.728,0,0.0955,219.1145,691.5405,2196.1405
"f3","shchag",1,"a","modal","F",130,-1.95,-7.4885,-8.1685,-22.326,-15.983,-14.4665,5.538,0.6805,20.3755,14.033,12.5165,7.0425,13.7435,21.8255,-1.03151705144606,40.569,41.4155,41.0955,41.227,0.2865,0.0455,240.5605,623.2645,1726.975
"f3","shchag",2,"a","modal","F",135,0.016,-11.764,-10.79,-24.246,-18.7775,-17.5565,11.78,-0.974,24.2625,18.7935,17.5725,7.242,13.853,21.7875,-1.25570701687732,49.542,50.674,48.986,47.688,0,0.055,233.093,549.1125,1659.373
"f3","shchag",3,"a","modal","F",127,-5.202,-17.5825,-7.1805,-26.599,-23.9485,-5.9055,12.3805,-10.4015,21.397,18.7465,0.7035,-11.1605,39.5975,21.196,-1.30102999566398,42.4815,44.2935,43.723,43.666,0.1725,0.0455,238.536,425.329,791.104
"f3","xa7ag",1,"a","laryngealized","L",74,-1.3955,-10.5445,4.269,-21.635,-11.3315,-10.9025,9.149,-14.814,20.2395,9.9365,9.507,13.67,30.0115,21.6705,-1.2839966563652,41.224,42.805,44.4755,44.647,0,0.076,211.3325,408.5625,1681.154
"f3","xa7ag",2,"a","laryngealized","L",123,2.716,-10.801,-27.696,-34.9175,-35.6685,-26.6425,13.5165,16.895,37.6335,38.384,29.3585,-1.4985,11.712,20.1065,-1.33724216831843,45.758,49.1365,49.532,48.1975,0,0.1075,218.228,832.7675,1682.701
"f3","xa7ag",3,"a","laryngealized","L",97,-11.007,-15.8375,-6.3595,-24.754,-17.246,-10.5095,4.831,-9.4775,13.747,6.2395,-0.4975,2.369,28.225,15.1655,-1.38195190328791,16.388,22.4205,27.4375,30.6445,0.067,0.0375,173.905,266.57,1571.23
