"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"f3","bahl",3,"a","breathy","F",135,2.6205,0.584,-16.599,-31.128,-36.1735,-26.792,2.0365,17.183,33.7485,38.794,29.4125,11.9375,6.649,20.638,-1.03385826726097,41.6565,41.978,43.884,44.7625,0,0.0585,202.705,1016.104,1721.2045,0.776058040121392,0.778026486332681,-1.6293504971587,-2.14746993694419,-2.81606719369171,-1.84296185173867,-0.314759018961083,2.71137031059076,0.880878308988802,-1.51000481323031,2.44258804213085,2.91885018090596,1.92974629128076,-0.0955074909423586,0.83954138645521,-0.108384943297796,-0.208741566805675,-0.125007426651904,0.369709729320681,-0.644775948059378,0.253289956648718,0.646248575296472,0.836120711992756
"f3","bgah",1,"a","breathy","L",173,-0.3185,-6.2015,0.8855,-15.39,-8.311,-9.23,5.883,-7.087,15.0715,7.9925,8.912,8.672,29.898,18.544,-0.987162775294828,32.628,33.947,35.802,39.18,0,0.06,202.7765,335.2805,1579.343,-0.0302310264388814,-0.341551633171649,1.15065669689251,-0.200922436424621,0.951142803395212,0.773482604610792,0.326976324850517,-1.68645666899497,0.419483438271931,1.02532252012098,0.1831899482081,-0.881568213692775,-0.673096568710116,0.0563557764891843,-0.0871403216394875,-0.875109147436821,-0.970858672022645,-0.700546196840558,-0.132930602806623,-0.644775948059378,1.17156304237213,0.657925549214171,-0.0656720005229842
"f3","bgah",2,"a","breathy","L",165,-0.1305,-2.9635,-3.246,-15.0295,-12.2375,4.3715,2.833,0.2825,14.8985,12.1065,-4.5025,-13.502,46.5005,19.4965,-1.03857890593355,30.6,33.9825,37.4225,40.0585,0,0.0895,200.5075,267.1415,1048.0865,0.021345137056638,0.192704346631611,0.493754885446794,-0.156334154944299,0.420251818969486,2.7998787595497,-0.181874006262281,-0.351071999606547,-2.71356505760187,2.83584220062185,0.162261754694761,-0.373965620462601,-2.3762665179966,-0.110859971085457,-0.295293448295748,-0.871719941952208,-0.818048628839757,-0.609975518898644,0.0957059379532901,-0.644775948059378,0.978242392746145,0.842935138746657,0.0910626639362137
"f3","bgah",3,"a","breathy","L",131,0.201,1.0195,1.618,-13.71,-10.6955,2.5185,-0.818,-0.5985,13.911,10.8965,-2.317,-3.3655,41.6795,17.1615,-1,26.9835,30.425,34.147,38.156,0,0.0835,196.456,256.8495,1041.7345,0.112289276411769,0.849882100663848,1.26712301103604,0.0068676131924131,0.628741287448913,2.52381273189821,-0.790992878030421,-0.510712937761266,-1.28134055690624,2.31010719808039,0.0428016905651513,-0.523260500824417,-2.09878484337842,0.0146065024930129,-0.666489593538531,-1.21135651974135,-1.12692199906225,-0.806117482227603,-0.464783639657625,-0.644775948059378,0.156629631835728,0.810762467196359,0.103103551210847
"f3","yah",1,"a","breathy","L",196,-0.553,-3.2765,9.2145,-20.079,-11.355,-3.5855,2.724,-12.491,19.526,10.802,3.033,19.937,22.4195,20.715,-1.20411998265592,31.422,36.064,38.161,38.38,0.6065,0.0625,188.545,294.4395,1871.461,-0.0945640601606861,0.14106070188843,2.47495421293543,-0.780879307052164,0.539572153556447,1.61441875845799,-0.200059149243034,-2.66568439860689,2.01115798080004,0.20978441256936,0.722060688122374,-0.534920307596476,-1.41952290825727,-0.64923332891248,-0.210923689858151,-0.672997935861387,-0.748409494689456,-0.783023763549187,0.388192683271876,2.01775794717515,1.72735991004682,0.676763458609032,0.313725258485095
"f3","yah",2,"a","breathy","L",150,0.6025,-12.464,-4.908,-15.5855,-22.3805,-17.0075,13.0665,-7.5565,16.188,22.983,17.61,13.8835,15.5285,18.5525,-1.18708664335714,30.472,37.7035,40.748,40.8305,0.0915,0.061,212.88,406.0195,2199.379,0.222437306430126,-1.37483701721054,0.229499576086326,-0.22510276660327,-0.951154587507056,-0.385234896770481,1.52544398175176,-1.77153206112169,1.15583602401408,-0.541686216452264,0.318255428310084,0.968022616112017,0.431243676464424,-0.593837434099793,-0.30843131822277,-0.516473924818437,-0.504460354477095,-0.530384667024817,-0.130890276721101,-0.243091114730508,0.615766174697432,0.665551748006437,0.595889300586217
"f3","zah",1,"a","breathy","L",199,0.786,3.0725,6.4535,-3.4345,-3.169,-0.4855,-2.286,-3.3805,4.221,3.9555,1.2715,-6.346,47.6845,21.5215,-0.806875401645538,27.216,31.3515,35.1985,37.3615,0,0.075,196.938,230.929,1018.959,0.272778934097295,1.18861821139149,2.0359596827644,1.27778824107327,1.64637811268264,2.07626694287226,-1.03590838166111,-1.01482314201374,-1.70246669751921,2.96495861692741,-1.12941909061552,-1.3796702236272,-1.6431714874565,0.642687100696797,-0.642625884491401,-1.12290303012177,-1.02776756499449,-0.888028015665111,0.581783623033419,-0.644775948059378,1.79985515365656,0.761039839612527,-0.131393597965212
"f3","zah",2,"a","breathy","L",203,0.053,3.689,7.2405,-5.623,-4.861,-4.6925,-3.636,-3.5515,5.6755,4.914,4.745,-5.481,47.563,20.222,-0.772113295386327,32.5635,37.2885,39.8585,40.283,0,0.063,194.1585,234.7255,1129.349,0.0716867647238071,1.29033804201184,2.16109140867697,1.00710459608108,1.41760756750288,1.44949426163651,-1.26113721674382,-1.04580906758066,-1.5802475693091,2.95170891711227,-0.953465001221582,-1.26140646922488,-1.2021590890185,0.755740562970081,-0.0937605764074013,-0.55609421428646,-0.588338499130708,-0.586830251741035,0.269853770311628,-0.644775948059378,1.89651547846955,0.680441915833893,-0.403582735141362
"f3","zah",3,"a","breathy","L",173,-2.8455,-3.058,9.449,-12.509,-14.2115,-4.215,0.2125,-12.507,9.6635,11.366,1.369,23.564,25.136,15.8035,-1.39254497678533,23.9395,28.844,33.34,35.881,0,0.0545,188.2005,270.1185,1910.148,-0.723491479381314,0.177112255806593,2.51223933329947,0.155412761757924,0.153352849593099,1.52063378036484,-0.61906820058395,-2.66858366649619,2.52363055654345,0.506021528189334,-0.47102780046322,-0.46533161956006,-1.6307924148071,-1.26202985528831,-0.978924562740531,-1.36229550202796,-1.20302055188458,-1.04066306255527,-0.790755736615065,-0.644775948059378,1.17156304237213,0.613609259369644,0.0701728116824625
"f5","bgah",2,"a","breathy","L",218,-0.4825,-7.515,0.612,-12.1585,-14.109,6.6845,7.0325,-8.127,11.6755,13.6265,-7.167,1.319,38.978,18.241,-1.39254497678533,32.809,34.1815,39.164,40.9785,0.3945,0.045,140.793,242.0115,1454.4075,-0.980964503993745,-1.21282859276926,0.691863354014878,-0.127516760314834,0.11640814897205,1.57559970192905,0.568196276969699,-1.3280207141018,-0.41597038058427,1.43385189294292,-0.130273127307624,-0.373990977639944,-1.77593312403869,-1.42853967272807,0.386822846715127,-0.26548413309827,-0.138818351202607,-0.03426189846874,0.0342085178733137,-0.288094885690246,1.97871386455034,0.559019322188125,-0.0825856567253592
